# 30/12/2021 11:36:47 AM: Prices - EPEX Spot Market Auction - netherlands - Currency: EUR
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Minimum,Maximum,Middle-Night,Early Morning,Late Morning,Early Afternoon,Rush Hour,Off-Peak 2,Baseload,Peakload,Night,Off-Peak 1,Business,Offpeak,Morning,High Noon,Afternoon,Evening,Sunpeak
05/12/2021,87.39,102.96,109.74,,109.56,110.09,112.77,180.10,211.00,200.00,200.10,180.10,235.00,218.00,217.00,199.14,209.27,229.07,256.91,253.79,197.54,200.00,181.49,191.98,147.01,87.39,256.91,102.41,153.49,203.80,210.85,234.33,180.12,180.83,216.33,105.42,127.95,207.33,145.34,197.80,212.53,223.60,195.30,209.75
04/12/2021,258.00,198.00,163.79,,185.00,185.01,183.79,187.60,205.00,222.79,235.01,239.55,235.01,237.92,222.00,218.73,210.00,222.00,243.05,203.00,171.47,189.42,136.88,129.87,120.86,120.86,258.00,201.20,190.35,233.09,222.16,209.88,144.26,200.16,221.71,195.60,195.77,227.63,178.60,212.60,233.62,223.45,158.58,227.20
03/12/2021,237.90,229.60,216.49,,173.50,122.62,125.93,169.95,232.10,243.88,217.75,180.96,160.41,140.01,140.80,179.93,164.90,180.00,280.00,266.95,184.60,219.00,199.90,199.93,220.00,122.62,280.00,214.37,162.65,200.75,156.41,227.89,209.71,195.30,195.02,184.34,188.51,178.58,195.58,215.92,155.55,201.21,215.06,161.17
02/12/2021,119.90,115.93,109.15,,110.57,112.66,115.97,205.00,199.10,220.70,215.25,196.48,222.80,217.52,226.37,251.90,304.96,327.82,354.98,315.20,219.00,208.80,205.00,206.78,172.48,109.15,354.98,113.89,158.18,213.81,250.19,304.25,198.27,206.43,256.08,114.03,136.04,232.00,156.78,210.01,215.79,309.92,221.21,236.67
01/12/2021,131.46,106.16,97.39,,93.88,86.95,94.27,115.82,150.00,248.30,250.00,202.10,234.00,236.32,203.00,225.10,219.00,234.02,322.40,269.90,229.90,180.10,239.90,263.94,140.10,86.95,322.40,107.22,111.76,233.60,220.86,264.06,206.01,190.58,239.50,101.69,109.49,227.23,141.66,191.03,218.86,250.13,220.64,219.92
30/11/2021,108.59,100.51,91.93,,94.10,93.94,98.36,100.57,214.00,201.00,200.00,210.00,191.00,196.96,199.90,239.90,253.00,259.00,252.95,228.92,232.60,214.43,172.51,146.05,126.94,91.93,259.00,98.78,126.72,200.50,222.44,243.37,164.98,176.13,222.10,97.91,112.75,211.47,130.16,178.89,199.47,251.21,186.91,215.13
29/11/2021,167.77,169.17,155.63,,137.07,143.84,157.65,203.30,224.61,308.12,289.23,250.66,253.00,268.97,329.20,342.77,352.11,360.00,421.87,410.13,355.06,310.16,206.47,190.00,143.78,137.07,421.87,157.41,182.35,275.25,323.26,386.77,212.60,256.27,328.43,155.19,169.88,299.26,184.12,256.32,275.46,369.19,269.27,299.45
28/11/2021,188.89,192.37,188.12,,181.20,176.00,174.50,181.40,184.77,185.99,199.99,203.01,209.76,210.07,198.28,198.34,205.11,217.03,245.13,247.94,235.13,195.70,189.00,192.37,158.29,158.29,247.94,187.65,179.17,199.69,202.95,236.31,183.84,198.27,212.98,183.51,183.41,201.32,183.55,188.04,205.28,216.40,203.07,204.10
27/11/2021,250.10,190.00,182.00,,167.71,167.30,169.18,175.07,203.42,209.26,213.83,209.13,225.54,213.58,216.02,218.90,225.00,227.38,270.80,250.00,214.03,184.10,200.00,200.10,189.73,167.30,270.80,197.45,178.74,214.44,218.38,240.55,193.48,207.17,224.46,187.72,188.10,216.41,189.89,200.40,216.07,235.52,206.33,218.03
26/11/2021,172.00,174.72,165.90,,159.90,143.42,152.57,213.30,239.52,256.10,232.90,235.91,195.40,201.91,174.90,169.75,165.49,178.92,279.77,206.00,194.90,219.00,219.00,208.00,189.00,143.42,279.77,168.13,187.20,230.08,178.01,214.90,208.75,197.85,207.66,161.42,177.67,204.05,188.03,235.46,202.03,198.48,205.98,190.56
